District,Hotels,Restaurants,Shopping_Places,Religious_Attractions,Cultural_Attractions,Educational_Places,Fun_And_Family,Hotel_Budget_Range,Restaurant_Budget_Range,Hotel_Budget,Restaurant_Budget
Colombo,Shangri-La Hotel Colombo,Ministry of Crab,Colombo City Centre,"All Saints' Church, Borella",National Museum of Colombo,Faculty of Medicine,Viharamahadevi Park,250 - 500,50 - 100,375,75
Colombo,Cinnamon Grand Colombo,Nuga Gama (Cinnamon Grand),One Galle Face Mall,"St. Michael's Church, Polwatte",Colombo Dutch Museum,Faculty of Law,Galle Face Green,200 - 400,40 - 80,300,60
Colombo,Hilton Colombo,The Lagoon (Cinnamon Grand),Marino Mall,"St. Lawrence's Church, Wellawatte",Independence Memorial Hall,Faculty of Science,Dehiwala Zoo,180 - 350,60 - 120,265,90
Colombo,Galle Face Hotel,The Tuna & The Crab (Galle Face Hotel),Majestic City,"St. Mary's Church, Bambalapitiya",Viharamahadevi Park,Faculty of Arts,Mount Lavinia Beach,220 - 450,80 - 160,335,120
Colombo,Taj Samudra Colombo,Upali's by Nawaloka,Liberty Plaza,"St. Theresa's Church, Thimbirigasyaya",Galle Face Green,Faculty of Management & Finance,National Museum of Colombo,200 - 380,60 - 120,290,90
Colombo,Cinnamon Lakeside Colombo,Curry Leaf (Hilton Colombo),Crescat Boulevard,"St. James' Church, Mutwal",Beira Lake,Faculty of Graduate Studies,Gangaramaya Temple,180 - 350,80 - 160,265,120
Colombo,The Kingsbury Colombo,Echo (Cinnamon Grand),Arcade Independence Square,"St. John's Church, Panchikawatta",Old Parliament Building,Faculty of Education,Independence Square,200 - 400,50 - 100,300,75
Colombo,Marino Beach Colombo,Rare at Residence,Dutch Hospital Shopping Precinct,"St. Paul's Church, Milagiriya",Colombo Fort,Faculty of Technology,Diyatha Uyana,150 - 300,80 - 160,225,120
Colombo,Mövenpick Hotel Colombo,The Gallery Cafe,House of Fashion,"St. Andrew's Church, Colombo 3",Jami Ul-Alfar Mosque (Red Mosque),Faculty of Architecture,Pettah Floating Market,150 - 300,70 - 140,225,105
Colombo,Galadari Hotel,Long Feng (Cinnamon Lakeside),Beverly Street,"St. Sebastian's Church, Hulftsdorp",Gangaramaya Temple,Institute of Indigenous Medicine,Arcade Independence Square,150 - 300,80 - 160,225,120
Colombo,Ramada Colombo,Colombo City Hotel,Odel,"Church of Our Lady of Lanka, Attidiya",Colombo National Museum Library,"Institute of Biochemistry, Molecular Biology & Biotechnology",Bellanwila Raja Maha Viharaya,120 - 250,70 - 140,185,105
Colombo,Cinnamon Red Colombo,Raja Bojun,Barefoot,"Christ the King Church, Pannipitiya",Pettah Floating Market,Institute of Agro-Technology & Rural Sciences,Attidiya Bird Sanctuary,100 - 200,80 - 160,150,120
Colombo,OZO Colombo,The Commons Coffee House,Paradise Road,"Church of the Transfiguration, Colombo 7",Colombo Lighthouse,Institute of Human Resource Advancement,Waters Edge,100 - 200,50 - 100,150,75
Colombo,Jetwing Colombo Seven,The Kings (Kingsbury),Good Market,"Church of St. Anthony, Kollupitiya",Kelaniya Raja Maha Vihara,Institute of Medicine,Good Market,120 - 250,80 - 160,185,120
Colombo,Mandarina Colombo,Chutneys (Cinnamon Grand),Pettah Market,"Cathedral of Christ the Living Saviour, Colombo 7",Wolvendaal Church,Institute for Agro-Technology and Rural Sciences,Colombo City Centre,100 - 200,80 - 160,150,120
Colombo,Fairway Colombo,Navratna (Taj Samudra),Noritake Lanka Porcelain Showroom,"Cathedral of the Holy Trinity, Maradana",Colombo Racecourse,International Unit,Colombo Dutch Museum,90 - 180,80 - 160,135,120
Colombo,Mövenpick Hotel Apartments,Sakura (Hilton Colombo),Laksala,"St. Francis Xavier's Church, Petta",Arcade Independence Square,School of Computing,Wolvendaal Church,120 - 250,80 - 160,185,120
Colombo,Renuka City Hotel,Yue Chuan (Cinnamon Grand),Lakpahana Handicrafts,"Church of St. Anne, Wattala",Seema Malaka Temple,Department of Forestry and Environmental Science,Beira Lake,90 - 180,80 - 160,135,120
Colombo,Colombo Courtyard,Shirohana (Cinnamon Grand),Selyn,"Church of St. Joseph, Kotahena","St. Anthony's Shrine, Kochchikade",Department of Sinhala and Mass Communication,Colombo National Museum,100 - 200,60 - 120,150,90
Colombo,Cinnamon Bey Colombo,Beach Wadiya,Romafour,"Church of St. Rita, Wellawatte",Sri Kailawasanathan Swami Devasthanam Kovil,Department of Statistics,Colombo Lotus Tower,150 - 300,80 - 160,225,120
Colombo,Movenpick Colombo,Semondu (Hilton Colombo),Fashion Bug,"Shiva Subramaniya Swami Kovil, Slave Island",Dutch Hospital Shopping Precinct,Department of Modern Languages,The Factory Outlet,150 - 300,80 - 160,225,120
Colombo,Wonder Hotel Colombo,The Bay Leaf,Cool Planet,"Sri Kathiresan Kovil, Bambalapitiya","St. Peter's Church, Colombo",Department of Geography,House of Fashions,100 - 200,80 - 160,150,120
Colombo,Colombo City Hotel,Park Street Mews Restaurant,Cotton Collection,"Sri Muthumariamman Kovil, Grandpass",Sri Sivasubramaniya Swami Kovil,Department of Philosophy,Dutch Hospital Shopping Precinct,80 - 160,60 - 120,120,90
Colombo,Hotel Sapphire,Chinese Dragon Cafe,Kandy Selection,"Sri Naguleswaram Kovil, Pettah",Diyatha Uyana,Department of International Relations,Colombo Planetarium,80 - 160,70 - 140,120,105
Colombo,Global Towers Hotel,The Sizzle,Cool Planet,"Kailasanathar Kovil, Bambalapitiya",Dutch Burgher Union,Department of Sociology,Kelaniya Raja Maha Viharaya,70 - 150,80 - 160,110,120
Colombo,Ocean Edge Suites & Hotel Colombo,Arabian Knights,No Limit,"Kandaswamy Kovil, Wellawatte",Ape Gama - Sri Lanka's Indigenous Village,Department of Economics,Paradise Road,120 - 250,70 - 140,185,105
Colombo,Omega Regency,Café Francais,Shoe Planet,"Murugan Kovil, Slave Island",St. Lucia's Cathedral,Department of Political Science,Jami Ul-Alfar Mosque,70 - 150,80 - 160,110,120
Colombo,The Ocean Colombo,Kaema Sutra (Shangri-La),Nolimit,"Kathiresan Kovil, Bambalapitiya",Barefoot Gallery,Department of Zoology,Pettah Market,120 - 250,80 - 160,185,120
Colombo,Pearl Grand Hotel,Il Ponte (Hilton Colombo),Fashionspace,"Sithi Vinayagar Kovil, Slave Island",Good Market,Department of Botany,The Sooriya Village,100 - 200,80 - 160,150,120
Colombo,Silvikris Villa,Siam House,Kandy Selection,"Sivan Kovil, Maradana",Colombo City Tour by Tuk-Tuk,Department of Physics,Independence Memorial Hall,80 - 160,80 - 160,120,120
Colombo,Sapphire Hotel Colombo,The Dining Room (Cinnamon Lakeside),Nolimit,"Sri Sudarshanaramaya Temple, Kolonnawa",National Art Gallery,Department of Chemistry,Colombo Fort,90 - 180,80 - 160,135,120
Colombo,Zylan Luxury Villa,Rio Ice Cream,Fashion Bug,"Shri Sambuddhathwa Jayanthi Temple, Dehiwala",Colombo Port Maritime Museum,Department of Microbiology,Gangaramaya Park,100 - 200,80 - 160,150,120
Colombo,Clock Inn Colombo,The Manhattan Fish Market,Cargills Square,Bellanwila Raja Maha Viharaya,Gangaramaya Park and Seema Malaka Art Gallery,Department of Computer Science,National Art Gallery,50 - 100,80 - 160,75,120
